Configuration,Status
"subnets: [1, 1, 1, 1, 1, 1]
topology: [
    [0, 0, 1, 0, 0, 0],
    [0, 0, 0, 1, 0, 0],
    [1, 0, 0, 0, 1, 0],
    [0, 1, 0, 0, 0, 1],
    [0, 0, 1, 0, 0, 0],
    [0, 0, 0, 1, 0, 0]
]
sensitive_hosts:
  (2, 0): 100
  (5, 0): 100
os:
  - linux
  - windows
services:
  - ssh
  - http
processes:
  - tomcat
  - apache
  - iis
exploits:
  e_ssh:
    service: ssh
    os: linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: http
    os: windows
    prob: 0.7
    cost: 1
    access: user
privilege_escalation:
  pe_tomcat:
    process: tomcat
    os: linux
    prob: 1.0
    cost: 1
    access: root
  pe_iis:
    process: iis
    os: windows
    prob: 0.9
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: linux
    services: [ssh, http]
    processes: [tomcat, apache]
    firewall:
      (3, 0): [ssh]
      (5, 0): [http]
  (2, 0):
    os: windows
    services: [http, ssh]
    processes: [apache, iis]
    firewall:
      (4, 0): [http]
      (6, 0): [ssh]
  (3, 0):
    os: linux
    services: [ssh]
    processes: [tomcat]
    firewall:
      (1, 0): [ssh]
      (5, 0): [ssh]
  (4, 0):
    os: windows
    services: [http]
    processes: [iis]
    firewall:
      (2, 0): [http]
      (6, 0): [http]
  (5, 0):
    os: linux
    services: [ssh]
    processes: [tomcat, apache]
  (6, 0):
    os: windows
    services: [ssh]
    processes: [iis]
firewall:
  (0, 1): [ssh, http]
  (1, 0): []
  (0, 2): [http, ssh]
  (2, 0): []
  (0, 3): []
  (3, 0): [ssh]
  (0, 4): []
  (4, 0): [http]
  (0, 5): [ssh]
  (5, 0): []
  (1, 2): [http]
  (2, 1): [ssh]
  (1, 3): []
  (3, 1): []
  (1, 4): [ssh, http]
  (4, 1): []
  (1, 5): [http]
  (5, 1): [ssh]
  (2, 3): []
  (3, 2): []
  (2, 4): [http]
  (4, 2): []
  (2, 5): [ssh]
  (5, 2): []
  (3, 4): [ssh, http]
  (4, 3): [http]
  (3, 5): []
  (5, 3): []
  (4, 5): [ssh, http]
  (5, 4): []
step_limit: 1000",Error
"subnets: [1, 1, 1, 1, 1]
topology: [
  [0, 1, 1, 0, 0, 1],
  [1, 0, 0, 1, 0, 0],
  [1, 0, 0, 0, 1, 0],
  [0, 1, 0, 0, 0, 1],
  [0, 0, 1, 0, 0, 1],
  [1, 0, 0, 1, 1, 0]
]
sensitive_hosts:
  (2, 0): 100
  (5, 0): 100
os:
  - Linux
  - Windows
services:
  - SSH
  - HTTP
processes:
  - Apache
  - Tomcat
exploits:
  e_ssh:
    service: SSH
    os: Linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: HTTP
    os: Windows
    prob: 0.7
    cost: 1
    access: user
privilege_escalation:
  pe_apache:
    process: Apache
    os: Linux
    prob: 0.9
    cost: 1
    access: root
  pe_tomcat:
    process: Tomcat
    os: Windows
    prob: 0.85
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: Linux
    services: [SSH, HTTP]
    processes: [Apache, Tomcat]
    firewall:
      (3, 0): [SSH]
      (5, 0): [HTTP]
  (2, 0):
    os: Windows
    services: [HTTP, SSH]
    processes: [Apache, Tomcat]
    firewall:
      (4, 0): [HTTP]
      (6, 0): [SSH]
  (3, 0):
    os: Linux
    services: [SSH]
    processes: [Apache, Tomcat]
    firewall:
      (1, 0): [SSH]
      (5, 0): [HTTP]
  (4, 0):
    os: Windows
    services: [HTTP]
    processes: [Tomcat]
    firewall:
      (2, 0): [HTTP]
      (6, 0): [HTTP]
  (5, 0):
    os: Linux
    services: [SSH]
    processes: [Apache, Tomcat]
    firewall:
      (1, 0): [HTTP]
      (2, 0): [SSH]
firewall:
  (0, 1): [SSH]
  (1, 0): []
  (0, 2): [HTTP]
  (2, 0): []
  (0, 3): []
  (3, 0): [SSH]
  (0, 4): []
  (4, 0): [SSH]
  (0, 5): []
  (5, 0): []
  (1, 2): []
  (2, 1): [SSH]
  (1, 3): []
  (3, 1): []
  (1, 4): [SSH, HTTP]
  (4, 1): []
  (1, 5): [HTTP]
  (5, 1): [SSH]
  (2, 3): []
  (3, 2): []
  (2, 4): [HTTP]
  (4, 2): []
  (2, 5): [SSH]
  (5, 2): []
  (3, 4): [SSH, HTTP]
  (4, 3): [HTTP]
  (3, 5): []
  (5, 3): []
  (4, 5): [SSH, HTTP]
  (5, 4): []
step_limit: 1000",Error
"subnets: [1, 1, 1, 1]
topology: [
    [0, 1, 0, 1, 0],
    [1, 0, 1, 0, 1],
    [0, 1, 0, 1, 0],
    [1, 0, 1, 0, 1],
    [0, 1, 0, 1, 0]
]
sensitive_hosts:
  (1, 0): 100
  (2, 0): 100
  (3, 0): 100
  (4, 0): 100
os:
  - linux
  - windows
services:
  - ssh
  - http
processes:
  - apache
  - iis
exploits:
  e_ssh:
    service: ssh
    os: linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: http
    os: windows
    prob: 0.7
    cost: 1
    access: user
privilege_escalation:
  pe_apache:
    process: apache
    os: linux
    prob: 0.9
    cost: 1
    access: root
  pe_iis:
    process: iis
    os: windows
    prob: 0.85
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: linux
    services: [ssh, http]
    processes: [apache]
    firewall:
      (2, 0): [ssh]
      (4, 0): [http]
  (2, 0):
    os: windows
    services: [http, ssh]
    processes: [iis]
    firewall:
      (1, 0): [http]
      (3, 0): [ssh]
  (3, 0):
    os: linux
    services: [ssh]
    processes: [apache]
    firewall:
      (2, 0): [ssh]
      (4, 0): [http]
  (4, 0):
    os: windows
    services: [http]
    processes: [iis]
    firewall:
      (1, 0): [http]
      (3, 0): [ssh]
firewall:
  (0, 1): [ssh, http]
  (1, 0): []
  (0, 2): []
  (2, 0): [ssh, http]
  (0, 3): []
  (3, 0): []
  (0, 4): []
  (4, 0): [ssh, http]
  (1, 2): [ssh, http]
  (2, 1): []
  (1, 3): []
  (3, 1): [ssh, http]
  (1, 4): [ssh]
  (4, 1): []
  (2, 3): []
  (3, 2): [ssh]
  (2, 4): []
  (4, 2): [http]
  (3, 4): [ssh, http]
  (4, 3): []
step_limit: 1000",Success
"subnets: [1, 1, 1, 1, 1, 1]
topology: [
    [0, 1, 0, 0, 0, 0, 0],
    [1, 0, 1, 0, 0, 0, 0],
    [0, 1, 0, 1, 0, 0, 0],
    [0, 0, 1, 0, 1, 0, 0],
    [0, 0, 0, 1, 0, 1, 0],
    [0, 0, 0, 0, 1, 0, 0]
]
sensitive_hosts:
  (1, 0): 100
  (3, 0): 100
  (5, 0): 100
os:
  - linux
  - windows
services:
  - ssh
  - http
processes:
  - apache
  - iis
exploits:
  e_ssh:
    service: ssh
    os: linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: http
    os: windows
    prob: 0.7
    cost: 1
    access: user
privilege_escalation:
  pe_apache:
    process: apache
    os: linux
    prob: 0.9
    cost: 1
    access: root
  pe_iis:
    process: iis
    os: windows
    prob: 0.85
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: linux
    services: [ssh, http]
    processes: [apache]
    firewall:
      (2, 0): [ssh]
      (3, 0): [http]
  (2, 0):
    os: windows
    services: [http, ssh]
    processes: [iis]
    firewall:
      (1, 0): [http]
      (3, 0): [ssh]
  (3, 0):
    os: linux
    services: [ssh]
    processes: [apache]
    firewall:
      (2, 0): [ssh]
      (4, 0): [http]
  (4, 0):
    os: windows
    services: [http]
    processes: [iis]
    firewall:
      (1, 0): [http]
      (5, 0): [http]
  (5, 0):
    os: linux
    services: [ssh]
    processes: [apache]
    firewall:
      (4, 0): [ssh]
firewall:
  (0, 1): [ssh, http]
  (1, 0): []
  (0, 2): []
  (2, 0): [ssh]
  (0, 3): []
  (3, 0): []
  (0, 4): []
  (4, 0): [http]
  (0, 5): [ssh]
  (5, 0): []
  (1, 2): [ssh, http]
  (2, 1): [http]
  (1, 3): []
  (3, 1): [ssh]
  (2, 3): [ssh]
  (3, 2): [http]
  (3, 4): [ssh, http]
  (4, 3): [http]
  (4, 5): [ssh, http]
  (5, 4): []
step_limit: 1000",Error
"subnets: [1, 1, 1, 1, 1]
topology: [[0, 1, 0, 0, 0, 0],
           [1, 0, 1, 0, 0, 0],
           [0, 1, 0, 1, 0, 0],
           [0, 0, 1, 0, 1, 0],
           [0, 0, 0, 1, 0, 1],
           [0, 0, 0, 0, 1, 0]]
sensitive_hosts:
  (1, 0): 100
  (2, 0): 100
  (3, 0): 100
  (4, 0): 100
  (5, 0): 100
os:
  - linux
  - windows
services:
  - ssh
  - http
processes:
  - apache
  - iis
exploits:
  e_ssh:
    service: ssh
    os: linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: http
    os: windows
    prob: 0.7
    cost: 1
    access: user
privilege_escalation:
  pe_apache:
    process: apache
    os: linux
    prob: 0.9
    cost: 1
    access: root
  pe_iis:
    process: iis
    os: windows
    prob: 0.85
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: linux
    services: [ssh, http]
    processes: [apache]
    firewall:
      (2, 0): [ssh]
  (2, 0):
    os: windows
    services: [http, ssh]
    processes: [iis]
    firewall:
      (1, 0): [http]
      (3, 0): [ssh]
  (3, 0):
    os: linux
    services: [ssh]
    processes: [apache]
    firewall:
      (2, 0): [ssh]
      (4, 0): [http]
  (4, 0):
    os: windows
    services: [http]
    processes: [iis]
    firewall:
      (3, 0): [http]
      (5, 0): [ssh]
  (5, 0):
    os: linux
    services: [ssh]
    processes: [apache]
    firewall:
      (4, 0): [ssh]
firewall:
  (0, 1): [ssh, http]
  (1, 0): []
  (0, 2): []
  (2, 0): [ssh]
  (0, 3): []
  (3, 0): []
  (0, 4): []
  (4, 0): [http]
  (0, 5): []
  (5, 0): []
  (1, 2): [ssh, http]
  (2, 1): [http]
  (1, 3): []
  (3, 1): [ssh]
  (1, 4): []
  (4, 1): [http]
  (1, 5): []
  (5, 1): []
  (2, 3): [ssh]
  (3, 2): [http]
  (2, 4): [http]
  (4, 2): []
  (2, 5): [ssh]
  (5, 2): []
  (3, 4): [ssh, http]
  (4, 3): [http]
  (3, 5): []
  (5, 3): []
  (4, 5): [ssh, http]
  (5, 4): []
step_limit: 1000",Success
"subnets: [1, 1, 1, 1]
topology: [[0, 1, 0, 0, 0],
           [1, 0, 1, 0, 0],
           [0, 1, 0, 1, 0],
           [0, 0, 1, 0, 1],
           [0, 0, 0, 1, 0]]
sensitive_hosts:
  (2, 0): 100
  (4, 0): 100
os:
  - linux
  - windows
services:
  - ssh
  - http
processes:
  - tomcat
  - iis
exploits:
  e_ssh:
    service: ssh
    os: linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: http
    os: windows
    prob: 0.7
    cost: 1
    access: user
privilege_escalation:
  pe_tomcat:
    process: tomcat
    os: linux
    prob: 1.0
    cost: 1
    access: root
  pe_iis:
    process: iis
    os: windows
    prob: 0.9
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: linux
    services: [ssh, http]
    processes: [tomcat]
    firewall:
      (2, 0): [ssh]
  (2, 0):
    os: windows
    services: [http, ssh]
    processes: [iis]
    firewall:
      (1, 0): [http]
      (3, 0): [http]
  (3, 0):
    os: linux
    services: [ssh]
    processes: [tomcat]
    firewall:
      (4, 0): [ssh]
  (4, 0):
    os: windows
    services: [http]
    processes: [iis]
    firewall:
      (5, 0): [http]
  (5, 0):
    os: linux
    services: [ssh]
    processes: [tomcat]
    firewall:
      (4, 0): [ssh]
firewall:
  (0, 1): [ssh, http]
  (1, 0): []
  (0, 2): []
  (2, 0): [ssh]
  (0, 3): []
  (3, 0): []
  (0, 4): []
  (4, 0): [http]
  (0, 5): []
  (5, 0): []
  (1, 2): [ssh, http]
  (2, 1): [http]
  (1, 3): []
  (3, 1): [ssh]
  (1, 4): []
  (4, 1): [http]
  (1, 5): []
  (5, 1): []
  (2, 3): [ssh]
  (3, 2): [http]
  (2, 4): [http]
  (4, 2): []
  (2, 5): [ssh]
  (5, 2): []
  (3, 4): [ssh, http]
  (4, 3): [http]
  (3, 5): []
  (5, 3): []
  (4, 5): [ssh, http]
  (5, 4): []
step_limit: 1000",Error
"subnets: [1, 1, 1, 1, 1]
topology: [[0, 1, 1, 0, 0, 0],
           [1, 0, 0, 1, 0, 0],
           [1, 0, 0, 0, 0, 1],
           [0, 1, 0, 0, 1, 0],
           [0, 0, 0, 1, 0, 1],
           [0, 0, 1, 0, 1, 0]]
sensitive_hosts:
  (2, 0): 100
  (4, 0): 100
os:
  - linux
  - windows
services:
  - ssh
  - http
processes:
  - tomcat
  - apache
  - iis
exploits:
  e_ssh:
    service: ssh
    os: linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: http
    os: windows
    prob: 0.7
    cost: 1
    access: user
privilege_escalation:
  pe_tomcat:
    process: tomcat
    os: linux
    prob: 1.0
    cost: 1
    access: root
  pe_apache:
    process: apache
    os: windows
    prob: 0.9
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: linux
    services: [ssh, http]
    processes: [tomcat, apache]
    firewall:
      (2, 0): [ssh, http]
      (4, 0): [ssh]
  (2, 0):
    os: windows
    services: [http]
    processes: [apache, iis]
    firewall:
      (1, 0): [http]
      (3, 0): [http]
  (3, 0):
    os: linux
    services: [ssh]
    processes: [tomcat]
    firewall:
      (4, 0): [ssh]
  (4, 0):
    os: windows
    services: [http]
    processes: [apache, iis]
    firewall:
      (5, 0): [http]
  (5, 0):
    os: linux
    services: [ssh]
    processes: [tomcat]
    firewall:
      (1, 0): [ssh]
firewall:
  (0, 1): [ssh, http]
  (1, 0): []
  (0, 2): [ssh, http]
  (2, 0): []
  (0, 4): [ssh]
  (4, 0): []
  (1, 3): [ssh]
  (3, 1): [ssh, http]
  (1, 5): [http]
  (5, 1): []
  (2, 3): [ssh]
  (3, 2): []
  (3, 4): [http]
  (4, 3): [ssh]
  (4, 5): [ssh, http]
  (5, 4): []
  (2, 5): []
  (5, 2): []
step_limit: 1000",Success
"subnets: [1, 1, 1, 1, 1]
topology: [[0, 0, 0, 0, 0, 0],
           [0, 1, 0, 0, 0, 0],
           [0, 0, 1, 0, 0, 0],
           [0, 0, 0, 1, 0, 0],
           [0, 0, 0, 0, 1, 0],
           [0, 0, 0, 0, 0, 1]]
sensitive_hosts:
  (1, 0): 100
  (2, 0): 100
  (3, 0): 100
  (4, 0): 100
  (5, 0): 100
os:
  - linux
  - windows
services:
  - ssh
  - http
processes:
  - apache
  - nginx
  - iis
exploits:
  e_ssh:
    service: ssh
    os: linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: http
    os: windows
    prob: 0.7
    cost: 1
    access: user
privilege_escalation:
  pe_apache:
    process: apache
    os: linux
    prob: 0.9
    cost: 1
    access: root
  pe_nginx:
    process: nginx
    os: linux
    prob: 0.9
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: linux
    services: [ssh, http]
    processes: [apache]
    firewall:
      (2, 0): [ssh]
  (2, 0):
    os: windows
    services: [http]
    processes: [nginx, iis]
    firewall:
      (1, 0): [http]
  (3, 0):
    os: linux
    services: [ssh]
    processes: [nginx]
    firewall:
      (4, 0): [ssh]
  (4, 0):
    os: windows
    services: [http]
    processes: [iis]
    firewall:
      (3, 0): [http]
  (5, 0):
    os: linux
    services: [ssh]
    processes: [apache, nginx]
    firewall:
      (4, 0): [ssh]
firewall:
  (0, 1): [ssh, http]
  (1, 0): []
  (0, 2): []
  (2, 0): [http]
  (0, 3): []
  (3, 0): [ssh]
  (0, 4): []
  (4, 0): [http]
  (0, 5): []
  (5, 0): [ssh]
  (1, 2): [ssh, http]
  (2, 1): [http]
  (1, 3): []
  (3, 1): [ssh]
  (1, 4): []
  (4, 1): [http]
  (1, 5): []
  (5, 1): [ssh]
  (2, 3): []
  (3, 2): [ssh]
  (2, 4): []
  (4, 2): [http]
  (2, 5): []
  (5, 2): [ssh]
  (3, 4): [ssh, http]
  (4, 3): [http]
  (3, 5): []
  (5, 3): []
  (4, 5): [ssh, http]
  (5, 4): []
step_limit: 1000",Success
"```plaintext
subnets: [1, 1, 1, 1, 1]
topology: [
    [0, 1, 0, 0, 0, 0],
    [1, 0, 1, 0, 0, 0],
    [0, 1, 0, 1, 0, 0],
    [0, 0, 1, 0, 1, 0],
    [0, 0, 0, 1, 0, 1],
    [0, 0, 0, 0, 1, 0]
]
sensitive_hosts:
  (1, 0): 100
  (3, 0): 100
  (5, 0): 100
os:
  - linux
  - windows
services:
  - ssh
  - http
processes:
  - tomcat
  - iis
exploits:
  e_ssh:
    service: ssh
    os: linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: http
    os: windows
    prob: 0.7
    cost: 1
    access: user
privilege_escalation:
  pe_tomcat:
    process: tomcat
    os: linux
    prob: 1.0
    cost: 1
    access: root
  pe_iis:
    process: iis
    os: windows
    prob: 0.85
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: linux
    services: [ssh, http]
    processes: [tomcat]
    firewall:
      (3, 0): [ssh]
  (2, 0):
    os: windows
    services: [http]
    processes: [iis, tomcat]
    firewall:
      (1, 0): [http]
      (3, 0): [http]
  (3, 0):
    os: linux
    services: [ssh]
    processes: [tomcat]
    firewall:
      (4, 0): [ssh]
  (4, 0):
    os: windows
    services: [http]
    processes: [iis]
    firewall:
      (5, 0): [http]
  (5, 0):
    os: linux
    services: [ssh]
    processes: [tomcat]
    firewall:
      (4, 0): [ssh]
firewall:
  (0, 1): [ssh, http]
  (1, 0): []
  (0, 2): []
  (2, 0): [http]
  (0, 3): []
  (3, 0): []
  (0, 4): []
  (4, 0): [http]
  (0, 5): []
  (5, 0): []
  (1, 2): [http]
  (2, 1): [ssh]
  (1, 3): []
  (3, 1): [ssh]
  (1, 4): []
  (4, 1): [http]
  (1, 5): []
  (5, 1): []
  (2, 3): [http]
  (3, 2): []
  (2, 4): [http]
  (4, 2): []
  (2, 5): []
  (5, 2): [ssh]
  (3, 4): [ssh, http]
  (4, 3): []
  (3, 5): []
  (5, 3): []
  (4, 5): [ssh, http]
  (5, 4): []
step_limit: 1000
```",Error
"subnets: [1, 1, 1, 1, 1, 1, 1]
topology: [
    [0, 1, 1, 0, 1, 0, 0, 1],
    [1, 0, 0, 1, 0, 1, 1, 0],
    [1, 0, 0, 0, 1, 1, 0, 1],
    [0, 1, 0, 0, 1, 0, 1, 1],
    [1, 0, 1, 1, 0, 1, 0, 0],
    [0, 1, 1, 0, 1, 0, 0, 1],
    [0, 1, 0, 1, 0, 0, 0, 1],
    [1, 0, 1, 1, 0, 1, 1, 0]
]
sensitive_hosts:
  (1, 0): 100
  (5, 0): 100
os:
  - linux
  - windows
services:
  - ssh
  - http
processes:
  - tomcat
  - apache
  - iis
exploits:
  e_ssh:
    service: ssh
    os: linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: http
    os: windows
    prob: 0.7
    cost: 1
    access: user
  e_iis:
    service: http
    os: windows
    prob: 0.6
    cost: 1
    access: user
privilege_escalation:
  pe_apache:
    process: apache
    os: linux
    prob: 0.9
    cost: 1
    access: root
  pe_tomcat:
    process: tomcat
    os: linux
    prob: 0.95
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: linux
    services: [ssh, http]
    processes: [apache, tomcat]
    firewall:
      (3, 0): [ssh]
      (5, 0): [http]
  (2, 0):
    os: windows
    services: [http, ssh]
    processes: [apache, iis]
    firewall:
      (1, 0): [http]
      (6, 0): [ssh]
  (3, 0):
    os: linux
    services: [ssh]
    processes: [apache, tomcat]
    firewall:
      (2, 0): [ssh]
      (7, 0): [http]
  (4, 0):
    os: windows
    services: [http]
    processes: [iis]
    firewall:
      (1, 0): [http]
      (3, 0): [ssh]
  (5, 0):
    os: linux
    services: [ssh, http]
    processes: [apache, tomcat]
    firewall:
      (1, 0): [http]
      (4, 0): [ssh]
  (6, 0):
    os: windows
    services: [ssh, http]
    processes: [iis]
    firewall:
      (2, 0): [http]
      (7, 0): [ssh]
  (7, 0):
    os: linux
    services: [ssh]
    processes: [tomcat, apache]
    firewall:
      (2, 0): [ssh]
firewall:
  (0, 1): [ssh, http]
  (1, 0): []
  (0, 2): [http]
  (2, 0): [ssh]
  (0, 3): []
  (3, 0): [ssh, http]
  (0, 5): [http]
  (5, 0): []
  (0, 6): []
  (6, 0): [ssh]
  (0, 7): [ssh, http]
  (7, 0): []
  (1, 2): []
  (2, 1): [http]
  (1, 3): [http]
  (3, 1): [ssh]
  (1, 6): [ssh]
  (6, 1): [http]
  (1, 7): []
  (7, 1): [ssh]
  (2, 3): []
  (3, 2): []
  (2, 4): []
  (4, 2): [http]
  (2, 5): [http]
  (5, 2): [ssh]
  (2, 7): []
  (7, 2): [ssh, http]
  (3, 4): [ssh]
  (4, 3): []
  (3, 5): []
  (5, 3): [ssh]
  (3, 6): [http]
  (6, 3): [ssh]
  (3, 7): []
  (7, 3): [ssh]
  (4, 6): [http]
  (6, 4): [ssh]
  (4, 7): []
  (7, 4): [ssh, http]
  (5, 7): [http]
  (7, 5): []
step_limit: 1000",Error
"subnets: [1, 1, 1, 1, 1]
topology: 
  [[0, 1, 0, 1, 0, 0],
   [1, 0, 1, 0, 1, 0],
   [0, 1, 0, 1, 0, 1],
   [1, 0, 1, 0, 1, 0],
   [0, 1, 0, 1, 0, 1],
   [0, 0, 1, 0, 1, 0]]
sensitive_hosts:
  (2, 0): 100
  (4, 0): 100
os:
  - Linux
  - Windows
services:
  - SSH
  - HTTP
processes:
  - Apache
  - Tomcat
  - IIS
exploits:
  e_ssh:
    service: SSH
    os: Linux
    prob: 0.8
    cost: 1
    access: user
  e_http:
    service: HTTP
    os: Windows
    prob: 0.7
    cost: 1
    access: user
privilege_escalation:
  pe_apache:
    process: Apache
    os: Linux
    prob: 0.9
    cost: 1
    access: root
  pe_iis:
    process: IIS
    os: Windows
    prob: 0.85
    cost: 1
    access: root
service_scan_cost: 1
os_scan_cost: 1
subnet_scan_cost: 1
process_scan_cost: 1
host_configurations:
  (1, 0):
    os: Linux
    services: [SSH, HTTP]
    processes: [Apache, Tomcat]
    firewall:
      (3, 0): [SSH]
      (5, 0): [HTTP]
  (2, 0):
    os: Windows
    services: [HTTP, SSH]
    processes: [Apache, IIS]
    firewall:
      (4, 0): [HTTP]
      (6, 0): [SSH]
  (3, 0):
    os: Linux
    services: [SSH]
    processes: [Apache]
    firewall:
      (1, 0): [SSH]
      (5, 0): [SSH]
  (4, 0):
    os: Windows
    services: [HTTP]
    processes: [IIS]
    firewall:
      (2, 0): [HTTP]
      (6, 0): [HTTP]
  (5, 0):
    os: Linux
    services: [SSH]
    processes: [Apache, Tomcat]
firewall:
  (0, 1): [SSH, HTTP]
  (1, 0): []
  (0, 2): []
  (2, 0): [SSH]
  (0, 3): []
  (3, 0): []
  (0, 4): []
  (4, 0): [HTTP]
  (0, 5): [SSH]
  (5, 0): []
  (1, 2): []
  (2, 1): [SSH]
  (1, 3): []
  (3, 1): []
  (1, 4): [SSH, HTTP]
  (4, 1): []
  (1, 5): [HTTP]
  (5, 1): [SSH]
  (2, 3): []
  (3, 2): []
  (2, 4): [HTTP]
  (4, 2): []
  (2, 5): [SSH]
  (5, 2): []
  (3, 4): [SSH, HTTP]
  (4, 3): [HTTP]
  (3, 5): []
  (5, 3): []
  (4, 5): [SSH, HTTP]
  (5, 4): []
step_limit: 1000",Error
